,text,date,sentiment
0,hi I m allow I produce visual investigation colleague mash froliak dmitriy christopher kettle harley willis alexander cardiac natalie reveal malachy browne ill forget reporting trip mash I lucha ukraine early april witness body arm bind strew single street town outskirt kyiv decide investigate kill month later know use exclusive phone record document interview thousand hour video prove single paratrooper military unit 234th air assault regiment kill dozen ukrainian yablunska street,2022-12-22T16:40:18Z,-0.9477
1,absolutely outstanding journalism I hope evidence bring monster justice,2023-02-19T18:35:46Z,0.8908
2,bring ss,2023-02-19T17:27:20Z,0.0
3,puff alimanias,2023-02-19T15:44:03Z,0.0
4,world especially russian people need report terrible,2023-02-19T15:37:10Z,-0.4767
5,bad thing happen africa talk,2023-02-19T15:29:21Z,-0.5423
6,s happen ukraine different happen afghanistan syria iraq libya come stand legitimize americans nato action country russian army regiment criminal nation hero nation villain,2023-02-19T15:28:06Z,-0.5267
7,excellent video thank,2023-02-19T14:34:43Z,0.7351
8,fashion,2023-02-19T14:18:41Z,0.0
9,thank work,2023-02-19T14:06:26Z,0.3612
10,I hope punishment,2023-02-19T13:54:22Z,-0.0772
11,people Ukraine forget forgive death citizen let Russian doubt reckoning overtake occupy,2023-02-19T13:47:06Z,-0.7351
12,ukraine joker actually responsible let untrained civilian fight armywhat expectthey kill young man woman old people sure safety,2023-02-19T11:17:41Z,-0.1027
13,good work new york times,2023-02-19T10:33:14Z,0.4404
14,russia hodge kill spree act unscathed ridiculous evidence world leader bubble s,2023-02-19T10:20:30Z,-0.802
15,america abu guhraib,2023-02-19T10:02:11Z,0.0
16,civilian nazi flag s civilian weapon civilian shoot people year cam russia look america,2023-02-19T09:58:25Z,-0.5574
17,ukraine year,2023-02-19T09:53:52Z,0.0
